"occurrence_no","name","diet","type","length_m","max_ma","min_ma","region","lng","lat","class","family"
488681,"Camarasaurus","herbivorous","sauropod",23,152.1,145,"Mashonaland North",30.800833,-16.265833,"Saurischia",null
488683,"Barosaurus","herbivorous","sauropod",24,152.1,145,"Mashonaland North",30.800833,-16.265833,"Saurischia","Diplodocidae"
488687,"Camarasaurus","herbivorous","sauropod",23,152.1,145,"Mashonaland North",30.689049,-16.258829,"Saurischia",null
488854,"Ornithomimus","omnivorous","large theropod",4,70.6,66,"Wyoming",-104.533302,43.233299,"Saurischia","Ornithomimidae"
488891,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.5,47.733299,"Saurischia","Dromaeosauridae"
488975,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Wyoming",-104.566704,43.150002,"Saurischia","Dromaeosauridae"
489004,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.099998,47.799999,"Saurischia","Dromaeosauridae"
489008,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.199997,47.650002,"Saurischia","Dromaeosauridae"
489014,"Chirostenotes","omnivorous","small theropod",1.7,70.6,66,"Montana",-106.183296,47.866699,"Saurischia","Caenagnathidae"
489028,"Paronychodon","carnivorous","large theropod",5,70.6,66,"Montana",-106.099998,47.799999,"Saurischia","Troodontidae"
489029,"Troodon","carnivorous","small theropod",2,70.6,66,"Montana",-106.099998,47.799999,"Saurischia","Troodontidae"
489031,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.199997,47.633301,"Saurischia","Dromaeosauridae"
489032,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.199997,47.633301,"Saurischia","Dromaeosauridae"
489036,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.199997,47.633301,"Saurischia","Dromaeosauridae"
489040,"Zapsalis",null,null,null,70.6,66,"Montana",-106.199997,47.633301,"Saurischia","Dromaeosauridae"
489044,"Richardoestesia","carnivorous","small theropod",1.5,70.6,66,"Montana",-106.183296,47.616699,"Saurischia","Dromaeosauridae"
